decade,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1871-1880,-1.7,0.3,4,8,10.8,15.7,17.9,17.4,13.7,8.1,2.5,-1.5
1881-1890,-2,-0.3,2.8,7.4,12.2,15.3,17.3,16.3,12.8,6.9,3.4,-1.1
1891-1900,-2.4,0,3.5,8,11.4,15.8,17.4,16.9,13.8,8.4,3.6,-0.3
1901-1910,-1.7,-0.5,3.4,7.5,11.9,15.5,17.3,16.6,12.8,8.4,2.8,0.2
1911-1920,-0.6,0.6,4.4,7.1,13,15.2,16.5,16.4,12.9,7.4,3.1,1.3
1921-1930,-0.1,0.3,4.1,7.6,12.2,15.3,17.7,16.4,13.6,8.9,3.5,0.4
1931-1940,-0.7,0.1,3.4,7.7,11.9,15.7,17,16.5,13.4,8,4.2,-0.9
1941-1950,-1.8,0.6,4.8,9.3,12.9,16,18.1,17.7,14.4,9.1,3.3,0.2
1951-1960,-0.6,0,4.7,8,12.4,15.4,17.4,16.5,13.5,8.3,3.5,1.5
1961-1970,-1.2,0.8,3.4,8.3,11.8,15.5,17.3,16.1,13.9,9.5,4,-1
1971-1980,0.1,1.7,4.5,7.2,12,14.9,17.1,16.7,13.3,8.3,3.8,0.9
1981-1990,-0.2,0.3,4.6,8.1,12.5,15.4,18.4,17.4,14.3,10,4,1.8
1991-2000,0.7,1.8,5.8,8.7,13.5,16.1,18.4,18.6,14,9.4,4.1,1.6
2001-2010,0.5,1.8,5.3,9.7,13.9,17.7,19,18.1,14,10.2,5,0.9
2011-2020,1.6,1.8,6.1,10.5,13.4,17.7,19.5,19.2,15.1,10.4,5.6,2.6
